Geneid	NORMAL_1	RESISTANT_1
102465436	0	0
100505975	0	0
765	0	0
155184	0	0
6518	48	8
80045	108	25
407040	0	10
9563	1552	880
80176	199	25
100506022	12	0
84275	60	35
199953	69	57
5293	572	187
644997	4	8
101929074	6	0
22883	1488	965
56998	227	26
84328	232	187
64802	133	14
100847055	0	0
105376719	0	0
116362	21	21
10277	806	1434
23095	619	2578
100422970	0	0
5226	1274	567
100526739	0	0
378708	7	0
1325	0	0
1676	271	84
5195	129	325
54897	122	838
148345	1	0
23435	1688	2170
10747	19	111
6723	283	58
5394	554	801
2475	759	1725
100873935	0	0
10218	2	67
29914	233	291
57540	4	6
101929181	0	0
26232	36	4
93611	145	71
26270	149	67
10459	127	50
374946	0	0
57085	174	50
284498	0	0
102724659	0	0
4524	371	334
1185	173	250
100379251	9	1
4878	0	6
4879	0	0
26829	0	0
90231	408	105
5351	878	392
9927	1354	1714
60672	98	56
102466982	0	0
943	35	0
102465836	0	0
7133	901	50
100616438	0	0
55187	1346	5881
677885	3	8
9249	949	823
102466722	0	0
343066	0	0
126767	0	0
93190	0	0
390999	0	0
65121	0	0
440560	0	0
343069	0	0
65122	0	2
400735	0	0
343071	0	0
441871	0	0
440561	0	0
653606	0	0
102724742	0	0
101929983	0	0
649330	0	0
441873	0	0
649324	0	0
440563	0	0
645354	0	0
645359	0	0
101060301	0	0
343070	0	0
400736	0	0
391003	0	0
343068	0	0
391002	0	0
645382	0	0
653619	0	0
729528	0	0
645414	0	0
391004	0	0
645425	0	0
126755	0	0
10630	921	29
7799	1098	1385
23254	151	67
200197	154	3
55092	558	335
727684	0	475
114827	24	329
101927417	5	0
79180	1088	1131
11330	0	25
63036	2	3
51032	0	52
842	151	116
23341	419	464
79814	48	43
84301	122	476
6248	96	174
23207	614	361
284723	9	0
388595	0	0
54751	896	108
440567	59	80
729614	22	0
23013	1260	2987
7709	124	116
101928566	0	0
149563	0	0
27129	127	0
1187	4	6
1188	0	3
348487	0	0
1969	589	1642
128272	127	74
101927546	0	0
79363	13	2
54455	252	340
26099	1255	263
374955	0	15
55707	851	176
114819	23	30
26871	1	0
100126512	0	0
100126517	0	0
102724970	0	0
100133301	0	0
7195	0	0
55672	117	1442
84809	93	43
11209	15	135
26869	0	0
729574	0	0
100126533	0	0
284729	0	2
100189045	0	0
102723383	0	0
6060	0	0
11223	10	6
100500876	0	0
100189298	0	0
7193	0	0
791226	0	0
9696	82	190
26870	0	0
4237	108	50
23400	282	473
6390	531	800
11240	97	4
29943	33	32
51702	454	731
100616188	1	0
23569	17	6
353238	0	0
55920	1136	744
55160	577	839
81569	0	0
101927876	0	0
84966	8	2
127707	534	25
5081	0	0
80834	0	0
8659	723	157
100616120	0	0
100302276	0	2
126917	295	59
23352	1945	8085
23065	525	450
51154	212	92
246181	0	7
22977	0	25
100506730	10	0
8574	246	298
54896	81	33
832	2291	877
100532736	0	0
440574	257	63
644068	8	31
4681	1	11
3362	2	2
255104	292	184
54546	2	0
23252	154	77
30814	0	0
5320	346	164
5322	20	0
26279	116	0
64600	133	165
391013	0	0
127733	105	53
101928017	0	0
127731	132	139
339505	0	0
55450	536	184
79594	314	49
163933	2	0
978	20	0
65018	162	340
102464833	0	0
100861548	35	8
1650	1925	1124
57576	8	0
400745	0	0
50809	2143	1357
8672	1140	2253
100302155	0	0
1889	1516	725
100506801	8	2
84224	169	443
249	123	70
5909	184	325
84196	879	1340
401944	7	15
3339	1434	2456
23436	0	0
10136	0	0
101928043	1	0
29092	94	0
998	3504	1867
54361	107	53
100616433	0	0
9923	492	1252
2046	0	0
102466615	0	0
712	1107	197
714	1186	139
713	1209	241
2048	161	86
100616391	0	0
100422914	0	0
646262	0	0
729059	0	0
23028	909	1302
100422866	0	6
100616177	0	0
7798	890	515
3352	3	0
100996511	30	0
10236	1712	1739
80818	600	190
148898	21	17
6920	84	170
55616	247	101
1870	68	5
101928163	0	0
3399	389	112
259283	1	0
6135	4488	8530
6924	611	741
100506963	3	0
57095	305	236
11313	572	280
2582	181	242
3155	344	297
2517	1653	992
1269	37	4
100616492	0	0
55629	1875	726
10772	1202	534
127294	4	3
58985	11	3
163702	114	30
284632	0	0
57822	746	471
90529	109	82
57185	629	181
100750325	0	0
11123	317	73
100506985	77	0
400746	20	0
10250	965	3441
25932	2932	100
864	299	18
102465437	0	0
100616365	0	0
25949	725	635
57035	727	811
6007	17	162
23585	407	368
6006	0	57
55219	364	411
26119	262	186
57134	209	53
57190	1218	767
56181	295	146
646471	42	24
79000	13	14
164091	490	75
3925	678	429
100500808	0	0
5051	351	39
2134	2	2
7780	11	2
105376910	0	0
84676	0	0
149420	282	98
79927	10	0
105376887	0	0
51042	28	21
10256	234	1573
378807	0	9
101928303	2	0
64793	129	141
83442	996	109
91544	110	118
1043	237	31
55057	121	151
257101	12	6
79727	0	0
79947	384	349
101928324	0	2
3151	1629	1464
6195	561	308
100302190	0	1
101928728	12	0
8289	1285	4216
55650	221	120
84243	385	127
2810	391	118
54707	137	77
63906	97	78
10726	397	700
8431	0	2
126695	74	46
388610	307	2
115572	16	4
6548	590	514
23038	654	317
84065	251	55
644961	13	26
100887744	0	0
84958	250	353
9064	121	158
8547	12	0
388611	0	0
2827	5	14
10163	1886	1392
27245	156	150
2268	286	24
2537	120	43
199870	112	90
23673	861	301
5511	518	180
677774	0	328
9473	304	43
6118	448	155
27293	48	16
55113	105	2
2140	442	554
5724	475	36
22826	796	820
93974	300	247
83667	229	46
54797	160	36
65979	534	1086
1104	363	157
8420	165	10
6080	4	24701
26768	3	33912
54952	170	151
85028	53	6
692212	2	29
677838	10	396
677825	8	73
692073	8	26
115273	22	0
6883	173	105
26824	0	4
10691	144	174
105376911	0	1
51441	913	605
4985	0	0
2035	1066	2222
399474	82	2
6429	777	1220
51102	105	84
10076	810	1403
101928460	0	0
101929406	0	0
4146	1	2
100129196	7	0
7805	3200	251
100616164	0	0
400748	0	0
9672	871	56
9698	1245	1520
692234	0	0
692235	2	11
692200	0	13
79570	0	0
9410	285	274
51538	294	257
2170	46	67
347735	2866	1488
149086	0	10
284551	3	0
64129	647	655
3061	0	9
553115	439	79
1307	610	81
576	37	43
100423028	0	0
90853	342	554
8073	3766	977
10657	1765	793
55116	139	68
100847018	0	0
23633	837	446
200081	1006	284
79140	29	41
56063	53	57
55721	24	65
149069	5	47
8668	1357	485
339483	49	0
84734	32	1
3932	400	31
3065	1567	813
65108	1027	42
100128071	2	0
81629	21	86
55108	884	259
728116	7	2
653121	134	106
339487	150	239
5928	1147	1165
81493	45	8
57648	1728	777
8565	506	536
64766	341	296
252995	16	2
3208	0	0
113452	281	36
127544	462	322
204	1101	4686
113451	24	27
55223	185	78
149076	197	325
127550	0	7
1912	863	206
100500853	0	1
101929464	0	0
7579	97	60
114784	31	32
127540	0	0
402779	0	0
84970	0	0
693137	0	0
2709	87	41
127534	87	122
2707	90	188
2701	81	14
113444	266	58
58512	4	6
653160	10	4
100506144	224	12
9204	368	926
79830	150	334
6421	2084	5761
9202	877	2443
79932	836	814
23154	222	46
339488	2	60
5690	733	497
127703	118	4
63967	50	159
192670	492	829
26523	442	387
192669	153	475
27285	1	6
54936	204	43
1296	116	20
27095	369	67
55700	604	336
9967	1596	1538
79729	37	184
55194	15	15
83931	396	85
84967	148	31
127700	48	56
64960	177	156
1441	691	115
2899	9	6
100422898	0	0
728431	60	0
80149	791	394
102465438	3	0
64769	501	285
100847010	4	0
79753	202	126
7802	37	17
29889	417	741
284654	61	0
54955	194	18
55143	95	102
284656	7	26
149175	41	81
79693	134	23
127687	92	10
4520	424	382
3633	275	270
10946	737	789
2275	184	24
51118	323	278
5453	1	6
100500801	0	0
339442	0	0
64121	417	403
100527950	0	12
26292	0	0
81025	0	0
54933	191	270
79647	793	273
4725	472	822
23499	2842	7596
643314	228	1037
105378950	0	0
353500	54	16
728448	57	7
8761	1493	1111
101929516	1	0
677834	2	94
26508	116	2
84618	0	0
51440	14	0
10450	375	257
656	71	16
64064	4	0
105378951	0	0
101929536	0	0
54802	268	395
4610	1081	213
84879	83	105
10487	4146	1624
5538	1424	399
6018	352	928
127391	4	0
10269	887	453
1298	153	203
64744	947	256
65243	33	109
339559	38	185
64789	91	76
127396	37	23
9783	75	12
100130557	29	1
4802	394	455
407034	0	2
407031	0	0
9132	14	10
163732	17	2
1503	255	291
100507178	8	0
200172	2	0
22955	421	592
100132074	15	6
1907	0	0
59269	138	111
2981	0	0
2980	0	0
22887	746	794
284716	9	9
84217	20	8
79717	437	359
728621	30	81
10465	124	151
4904	3476	2847
149461	4	0
64175	331	168
79078	41	33
100129924	0	13
374969	77	31
114625	282	170
51058	92	52
339539	0	0
6513	845	924
440584	2	0
105378684	0	0
440585	8	28
10969	399	204
102465439	0	0
149465	16	12
128218	53	8
149466	60	16
7075	180	19
4352	6	21
991	113	76
64834	770	426
102466723	0	2
112950	198	72
23334	500	1618
102465440	0	0
81888	0	0
5792	2705	3337
9682	671	888
100132774	4	2
6487	55	168
101929592	0	2
102464830	0	0
9048	4	4
9670	274	202
1802	221	58
533	506	170
8704	224	158
149473	75	94
6536	73	23
128209	5	0
105378952	0	0
55929	186	122
79033	231	160
100874278	9	2
55182	426	255
100847089	0	0
79639	56	2
339541	17	4
26828	0	4
26830	0	0
11004	95	117
6202	8583	1977
26811	0	1
94161	0	11
94162	4	9
94163	1	2
266675	3	2
1263	114	169
343521	1	2
149478	11	38
8643	10	13
8891	179	245
79654	493	359
7389	299	340
57643	36	66
400752	8	0
84842	7	6
4595	99	223
114034	77	84
10420	101	99
126661	37	11
25974	64	41
5052	2047	643
10327	722	269
4678	676	1040
149483	4	80
60313	1386	760
728963	3	15
51249	401	165
3652	157	206
23139	315	574
8503	729	366
101929626	0	0
10103	650	382
55624	543	993
541468	5	0
8438	28	258
10489	623	304
7388	752	430
387338	308	119
2166	198	468
729041	1	0
101929651	0	0
127343	0	0
100507423	5	4
148930	0	0
8569	322	366
148932	271	179
64756	372	140
374973	0	25
100130197	1	5
9813	2520	1193
1580	1267	551
163720	22	326
1579	0	275
260293	83	242
199974	0	66
284541	0	23
100874253	0	0
10158	281	8
6886	37	2
6491	70	368
51727	2023	652
102724077	0	0
2301	0	0
84793	8	0
2306	12	12
388630	94	2
391037	0	0
200010	7	37
54558	133	246
84871	2	9
79656	25	32
101929721	0	0
100874313	0	0
1996	0	2
63950	2	0
11124	361	781
1031	118	52
100616189	0	0
102466656	0	0
284546	0	2
26994	1317	316
22996	171	130
102724097	0	2
2060	1191	1552
114883	949	1261
4898	1346	2341
100313892	0	0
5865	42	0
51060	615	313
112970	0	0
104355143	0	0
91408	696	191
9372	590	931
200014	392	328
4998	44	96
84950	450	337
23318	600	2363
105378722	1	0
2882	141	16
348378	2	4
65260	140	68
79699	629	401
440590	3	20
55268	370	534
6342	1993	1971
100616156	0	0
100616458	0	0
100616145	0	0
127435	641	44
6512	18	10
1376	337	506
54987	263	42
4116	211	361
100507564	6	0
7804	63	230
163742	0	0
63948	0	0
148979	12	0
105369175	0	0
55706	388	419
54432	364	199
1733	0	21
51668	175	285
115353	249	191
388633	0	0
9528	3112	1546
127428	195	49
100616315	0	0
200008	0	0
606495	70	14
51253	357	224
23648	166	235
619518	11	2
26027	162	220
338094	6	25
374977	1	7
100527960	0	9
7268	7	3
25973	74	16
55001	108	92
163747	1	4
1718	530	240
100126514	0	0
199964	0	2
7809	0	0
255738	6	0
23358	1097	2932
100507634	4	0
100616272	0	0
8613	1361	125
5563	80	37
199920	2	6
731	0	0
732	2	0
1600	11	14
101926890	0	0
115209	225	394
4070	3110	1022
114803	548	1066
3725	873	694
100131060	0	4
101926925	7	0
729467	0	0
55277	155	154
100616409	0	0
101926944	2	0
51361	270	269
1573	118	190
127795	13	0
101926964	0	0
100996570	0	0
4774	513	759
645030	0	0
414927	0	0
83941	229	356
10207	602	6059
100422902	0	0
100422946	0	0
54596	0	4
163782	3	0
7398	528	497
85440	418	1355
27329	0	272
84938	190	106
199899	0	0
100996301	0	0
27022	4	0
102464823	0	0
29929	173	454
23421	177	161
84455	113	158
79469	3	14
5236	543	554
4919	101	42
101927034	2	0
148581	0	0
57685	165	345
100616338	0	0
55225	141	275
3716	3376	2093
101927084	0	1
105378775	0	0
100500854	1	0
406893	0	0
205	279	24
9829	17	51
54741	1740	172
3953	358	265
5142	474	57
101927139	0	0
84251	81	46
100422871	0	0
200132	20	6
10022	0	0
79819	34	104
57708	934	1139
23169	572	545
400757	0	0
149233	20	22
3595	25	155
26135	2886	1243
1647	270	131
55970	1775	42
100289178	4	0
9077	15	6
79971	935	305
100302279	0	0
6121	0	0
55635	79	100
101927220	0	0
57554	2	0
5301	0	0
55631	290	347
9295	2011	4951
81573	332	453
11147	67	5
1491	31	43
101927244	0	0
5733	42	0
100132618	29	2
9406	905	1298
406962	10	25
100852410	4	0
257194	284	18
100852409	0	0
101927295	0	0
127255	9	0
100526835	0	0
8790	327	189
51086	0	0
105378804	0	0
105378803	0	0
127254	0	0
101927320	0	0
1429	761	279
127253	307	153
431707	10	13
204962	98	924
34	976	1051
1744	9	76
5876	446	483
692085	2	21
26805	3	42
26804	6	15
4438	6	8
127247	0	0
101927342	0	0
256435	41	5
81849	63	0
102466995	0	0
10026	498	262
26289	9	0
26009	573	851
23032	1031	1378
374986	488	596
374987	1	1
91624	463	424
8880	812	1861
11080	377	129
54810	33	83
149047	0	0
5737	291	0
10964	599	478
10561	450	692
64123	553	136
101927412	11	0
23266	570	598
101927434	0	0
101927498	0	4
101927587	1	0
101927560	2	0
79739	72	80
5567	1427	573
148418	28	22
391051	0	0
58511	0	1
80135	385	225
2787	338	438
100505741	2	57
1486	371	123
103695366	0	0
439927	0	0
117178	272	261
23566	228	87
255231	113	63
55283	2	37
126820	14	31
100616481	0	0
84144	102	496
148423	126	148
8915	307	427
646626	1	0
23576	435	77
3491	1030	216
54680	319	483
255631	56	25
57489	260	1208
102465842	0	2
9635	339	2071
1179	3	0
22802	1366	2573
9629	2	26
105378828	22	0
51100	1822	2059
9403	2160	300
9653	788	208
339524	42	3
101927844	1	0
105378832	0	0
8543	464	129
100505768	0	0
101927891	2	0
5586	1209	2470
2959	306	277
56267	347	438
494115	355	232
2635	1653	1476
2633	1135	1140
2634	2278	4681
388646	11	126
115361	1227	1177
115362	676	242
729930	0	0
163351	7	23
400759	26	19
23507	253	313
84230	374	214
400761	4	0
55144	328	285
105378846	0	0
492303	5	2
284695	322	1232
343472	0	0
84146	726	3598
164045	0	16
8317	91	138
7049	844	2995
676	2	0
253152	7	42
646817	3	10
284697	22	62
23285	105	211
388649	0	9
11146	146	512
79871	151	595
2672	73	16
7813	302	779
6125	8348	7122
388650	258	58
6083	3	73
26782	2	72
22823	383	666
50999	1316	428
343099	93	386
100131564	141	4
1810	926	203
54874	1172	1437
100126520	0	0
8412	112	209
100129046	24	2
100126348	0	2
100189133	1	0
30836	552	812
2730	302	59
24	2	11
9411	539	416
5825	1037	2933
2152	756	232
101928079	30	0
100616321	0	0
126969	433	805
1266	1441	335
105378862	2	0
729970	30	2
199857	94	74
101928098	0	0
148534	230	25
100527978	5	2
101928118	3	0
25950	64	56
440594	0	0
100996635	0	0
102723661	0	0
101928241	0	0
58155	169	484
1806	648	2030
100873932	0	0
100873933	0	0
400765	0	0
100616452	0	0
406928	0	0
729987	0	0
51375	310	456
163404	2	2
100129620	0	0
9890	148	61
101928270	0	0
54873	196	166
391059	67	305
178	714	2225
23443	523	427
64645	760	761
163786	100	159
54482	222	257
127495	8	49
1629	715	753
100506007	3	0
8634	376	262
693138	0	31
8556	180	388
54112	7	0
100128787	0	0
7412	1038	158
2135	265	32
148867	612	530
51611	181	118
102606465	34	0
101928334	2	0
101928370	6	0
1901	433	30
104355286	0	0
118427	0	2
94236	0	0
1301	13	296
101928436	0	0
55599	193	1354
280	106	2105
648740	2	4
279	0	9
276	0	0
277	0	15
278	0	0
100129138	4	2
101928476	0	0
55170	207	27
22854	13	2
10451	858	589
102465839	0	0
100873946	0	0
29957	886	847
148545	0	2
653149	0	10
284611	811	235
113802	180	156
55119	790	1575
163479	0	6
6814	733	971
254268	0	2
642864	0	0
29899	121	536
23155	405	407
22911	241	214
6884	98	106
56900	801	87
677766	0	3488
127003	0	17
57535	34	12
6301	1670	416
1952	252	335
84722	27	33
343263	0	48
6272	1025	464
5686	691	627
284612	9	10
127002	61	56
284613	277	21
57463	67	8
83873	0	0
2773	1272	359
406974	0	0
2780	2	169
271	377	217
2948	164	258
2946	86	296
2944	0	43
2949	48	5
2947	288	99
79574	17	29
1435	487	36
10768	1676	892
85369	429	514
257	25	12
104355139	0	0
164153	0	0
388662	1	4
100873974	0	0
3749	29	90
440600	0	0
64783	195	739
9122	179	294
10542	356	165
101410535	0	0
84432	6	2
643160	0	0
440602	0	0
3744	2	0
3737	46	0
3738	543	18
963	1301	155
55791	269	405
128338	680	770
10390	477	520
79961	900	521
1117	492	4
149620	0	0
27159	0	0
128344	104	14
441897	0	0
5016	40	156
79084	534	226
515	1612	623
128346	140	80
57413	12	4
140	58	14
100129269	4	0
5906	1233	488
55924	124	13
100506343	0	0
101928718	0	0
11218	248	233
3752	49	131
100874295	0	0
100873995	0	0
643355	3	0
55917	642	713
100422976	0	0
7482	70	30
54879	143	249
829	2004	1715
4343	516	884
389	851	289
333926	22	4
284467	0	0
100996702	1	0
6566	234	52
246182	0	0
100506392	3	0
100996251	0	0
9860	137	761
643441	0	0
260425	144	616
10745	229	486
54665	438	243
100287722	9	12
26191	219	168
440603	16	14
10717	108	262
64858	78	55
101928846	0	0
204851	1163	994
56944	502	36
148281	0	0
51592	984	2017
10286	417	385
163259	55	319
270	18	6
4893	926	405
7812	7216	6251
80143	514	133
6847	0	0
7252	0	2
10100	323	22
4803	2	0
81839	376	386
845	129	0
4808	0	0
101928995	0	0
101928977	0	0
55356	56	78
126868	32	8
476	2972	2161
84852	25	5
101929023	0	0
965	122	163
100616384	0	0
3321	583	243
100302117	0	0
388667	0	0
914	472	161
5738	990	210
9398	51	22
101929099	4	0
8458	267	403
100126331	0	2
80263	83	70
79679	217	10
104355292	0	0
10905	1528	1718
100996263	0	0
54855	1427	155
54834	266	606
10885	418	671
200162	157	161
6913	18	19
10352	188	102
104472716	3	0
101929147	55	2
51179	2	0
100874270	0	0
3284	0	2
3283	0	0
128102	0	2
644242	0	0
90874	91	54
26227	193	113
3158	2079	2208
83998	2	0
343505	1	4
11085	0	0
4853	1758	2508
9554	901	98
105378954	4	9
728841	105	2479
767846	7	0
100996724	184	245
101929796	34	71
101060684	197	3081
100189005	0	0
101954277	0	0
653505	1	3
728855	101	2
101954264	0	0
100189257	0	0
105369199	2	0
100996721	0	0
100126488	0	0
101929798	0	0
2210	19	10
100996318	0	0
337875	0	21
653820	7	33
653464	94	148
100873165	0	0
647121	14	6
101929815	0	0
100189261	0	0
101954269	0	0
26863	0	0
791227	0	0
105369140	8	0
388692	0	0
100189142	0	0
100189326	0	0
199882	0	0
100189356	0	0
100132417	14	2
100996713	0	0
554282	10	2
100996712	22	58
101060524	0	0
730262	0	0
101954267	0	0
100189323	0	0
284565	232	2810
100189127	0	0
728945	0	0
105371215	0	0
1818	0	0
645166	1	0
647135	114	144
728833	0	91
101929805	5	0
102724235	22	14
103091866	43	43
645142	0	0
101954266	4	0
7214	0	0
100288142	41	1137
100126510	0	0
101060254	0	0
101929780	14	208
653519	80	413
5174	0	94
11126	5	37
27246	227	343
10623	264	382
200035	22	26
10401	318	353
102466191	1	0
148741	23	6
8515	31	18
8799	350	60
114814	17	6
9939	904	504
128077	442	38
84265	183	174
284615	12	3
10628	13466	4143
148738	0	0
100189384	0	0
100189064	0	0
100188991	0	0
100189198	0	0
101954276	0	0
101928979	3	0
100132406	19	2325
388677	15	14
170688	0	0
105371242	0	0
102724558	3	0
100288805	4	15
105373468	2	1
149013	244	5870
728989	1	0
100189334	0	0
101447996	0	0
644861	0	0
5565	450	55
171423	330	728
2330	109	108
9557	304	378
100289211	0	0
607	331	673
51205	136	275
2702	269	65
2703	0	0
51463	74	251
100034743	0	103
100189140	0	0
26864	0	0
100189193	0	0
200030	172	3846
101927468	0	0
100189056	0	0
100189307	0	0
100189174	0	0
100188998	0	0
100847044	0	0
101954273	0	0
102466225	0	0
26860	0	0
100132057	11	3
101954272	1	0
388685	34	57
644591	0	0
25832	181	2639
100996763	50	29
440672	57	6
9659	646	280
400818	138	1539
653513	39	122
100996761	4	1
101060226	117	416
653598	1	4
57234	52	5
644634	0	0
100189228	0	0
102723955	2	0
100189059	0	0
440689	3	1039
2209	79	57
101927767	0	3
653604	0	36
8370	0	0
105371405	0	0
126961	0	0
8337	4	13
337873	0	4
723790	2	8
333932	0	1
554313	1	0
8349	134	657
8338	2	188
317772	2	20
51027	27	2
9900	89	10
10262	423	379
10903	157	172
56957	378	473
105373477	0	0
11311	421	425
51177	475	65
81611	729	853
23632	3	16
51107	1471	383
79630	54	55
148523	19	16
54460	378	295
9129	406	2831
23248	652	1509
80222	330	300
102465529	0	0
1893	236	209
100874054	0	0
54507	226	651
105371437	2	19
100422997	0	0
574406	2	5
4170	5999	1223
2029	1270	236
55204	657	335
84072	6	49
1520	3693	1189
1513	2090	379
405	756	786
9869	404	900
29956	1091	526
8416	190	126
55793	295	204
58497	353	290
149428	54	102
54964	7	36
56882	1881	638
10962	63	4
126626	89	213
10500	41	62
100534012	0	0
79626	84	4
388695	71	57
79005	6	9
29765	6	8
6944	241	171
8394	539	933
5710	724	645
57592	366	252
5298	832	748
5993	907	604
8991	454	57
5692	1063	663
23126	744	2114
57530	460	777
7286	244	482
693139	0	28
81609	496	422
11189	1	0
284485	0	2
65005	240	148
51686	8	15
11022	106	48
339398	15	0
6097	129	26
100191040	5	1
100132111	15	0
284486	13	71
117145	161	110
6281	327	62
441908	1	8
6282	2538	2466
100131107	0	0
126637	0	0
7062	2	4
126638	0	0
388697	2	2157
2312	10	460
339400	1	0
388698	0	43
49860	9	1
254910	0	0
54544	0	0
353145	0	0
84648	0	0
353144	0	0
353143	0	0
353142	0	0
353141	0	0
353140	0	0
26239	0	0
353139	0	0
199834	0	0
100129271	0	0
448834	0	0
353137	0	0
353135	0	0
353134	0	0
353133	0	0
353132	0	0
353131	0	0
448835	0	0
4184	0	0
3713	94	277
163778	0	0
6698	4	61
6707	28	123
6699	1	5
6703	1	0
6700	5	0
6701	0	0
6704	1	0
6705	0	6
6702	0	0
6706	0	0
101928009	0	0
149018	0	0
574414	0	0
4014	0	0
114771	0	0
57115	0	1
6280	3187	142
6283	26	0
6279	388	33
338324	0	0
645922	0	0
6278	2	8
6277	4735	2622
6276	1	5
6275	682	170
101928034	2	0
6274	4	3
6273	1106	455
140576	592	278
57402	124	54
6284	223	88
6271	4	28
26097	407	288
23557	222	79
3608	1292	1040
100189015	0	0
4881	82	16
102466879	0	0
65123	229	211
11000	31	2
343052	0	0
105371448	0	0
57459	60	24
9909	629	478
200186	330	426
27173	914	80
102465441	0	0
148327	155	76
10899	486	268
5872	982	474
6232	3282	2690
91181	0	29
100847024	0	0
7170	3337	3227
100126346	0	0
388701	0	27
25912	1445	546
9898	1176	3608
10456	365	589
89872	0	0
57198	827	136
3570	629	72
126669	193	18
126668	11	4
55585	577	427
100874097	5	0
1141	0	18
103	3792	5735
3782	168	30
10654	131	55
57326	1333	270
90780	475	17
101928120	0	0
6464	1322	439
1163	106	167
100423020	1	0
80308	220	270
55891	0	0
51043	403	100
127579	7	67
149095	1	13
100505666	4	0
8751	580	343
1945	61	10
1944	17	3
1942	298	247
55974	334	237
54344	37	14
200185	260	515
80128	19	139
4582	826	5768
693235	0	0
7059	331	720
4580	67	48
2630	6	5
2629	4	18
10712	0	0
10067	0	0
1196	0	0
57657	0	0
5313	0	0
2224	474	692
284618	2	4
23623	283	151
55870	1149	7085
693140	0	0
645682	0	94
645676	7	51
55154	86	98
55249	570	2142
7818	778	994
100129405	30	24
54856	464	3917
23208	423	8
6016	507	296
22889	539	1754
677823	0	154
677771	0	400
339403	0	0
9181	836	662
102465442	0	0
105371729	3	0
6746	1517	504
56893	528	109
28956	168	376
57111	694	424
92312	106	81
4000	1296	3526
64218	337	803
9673	313	111
11243	62	10
100527963	0	0
632	0	2
79957	20	43
23381	1105	1089
84283	126	111
112770	414	256
391104	0	0
7203	1769	1005
128229	2	6
57127	12	20
10485	2	0
407046	0	0
4209	580	301
128239	88	266
164118	12	0
128240	311	237
54865	225	212
101928177	0	0
60484	0	3
63827	4	27
10763	261	99
1382	456	115
81875	422	167
51093	230	172
79590	220	102
3068	1698	860
5546	410	507
9047	67	22
4914	4	2
3645	1	0
375033	123	40
149499	0	28
9826	684	1182
768220	0	9
440695	1	0
2117	690	275
360155	0	12
83416	376	50
83417	8	0
115352	173	24
79368	103	14
115350	165	6
922	0	0
55243	775	110
646268	0	0
912	64	6
909	15	2
911	76	10
910	4	0
913	30	6
128360	0	0
391107	0	0
391109	0	0
343406	0	0
391112	0	0
128366	0	0
128367	0	0
128368	0	0
6708	1	10
81448	0	0
391114	0	0
128371	0	0
128372	0	0
81442	0	0
4332	555	26
149628	69	44
3428	2185	3365
9447	109	863
100189166	0	0
57863	24	1
100131825	14	1
2532	296	0
2205	50	8
441911	0	0
26476	0	0
127385	0	0
325	0	0
1401	1	0
54935	45	42
343413	24	2
56833	250	21
284677	8	23
391123	2	27
